2023-07-31 14:03:38.525  INFO [department-service,,] 13648 --- [restartedMain] com.netflix.discovery.DiscoveryClient    : Registered Applications size is zero : true
2023-07-31 14:03:38.525  INFO [department-service,,] 13648 --- [restartedMain] com.netflix.discovery.DiscoveryClient    : Application version is -1: true
2023-07-31 14:03:38.526  INFO [department-service,,] 13648 --- [restartedMain] com.netflix.discovery.DiscoveryClient    : Getting all instance registry info from the eureka server
2023-07-31 14:03:38.851  INFO [department-service,,] 13648 --- [restartedMain] com.netflix.discovery.DiscoveryClient    : The response status is 200
2023-07-31 14:03:38.855  INFO [department-service,,] 13648 --- [restartedMain] com.netflix.discovery.DiscoveryClient    : Starting heartbeat executor: renew interval is: 30
2023-07-31 14:03:38.859  INFO [department-service,,] 13648 --- [restartedMain] c.n.discovery.InstanceInfoReplicator     : InstanceInfoReplicator onDemand update allowed rate per min is 4
2023-07-31 14:03:38.868  INFO [department-service,,] 13648 --- [restartedMain] com.netflix.discovery.DiscoveryClient    : Discovery Client initialized at timestamp 1690792418866 with initial instances count: 1
2023-07-31 14:03:38.886  INFO [department-service,,] 13648 --- [restartedMain] o.s.c.n.e.s.EurekaServiceRegistry        : Registering application DEPARTMENT-SERVICE with eureka with status UP
2023-07-31 14:03:38.887  INFO [department-service,,] 13648 --- [restartedMain] com.netflix.discovery.DiscoveryClient    : Saw local status change event StatusChangeEvent [timestamp=1690792418887, current=UP, previous=STARTING]
2023-07-31 14:03:38.891  INFO [department-service,,] 13648 --- [DiscoveryClient-InstanceInfoReplicator-0] com.netflix.discovery.DiscoveryClient    : DiscoveryClient_DEPARTMENT-SERVICE/department-service:4644de67d36e3db812fb43c09e7ec0ef: registering service...
2023-07-31 14:03:38.967  INFO [department-service,,] 13648 --- [DiscoveryClient-InstanceInfoReplicator-0] com.netflix.discovery.DiscoveryClient    : DiscoveryClient_DEPARTMENT-SERVICE/department-service:4644de67d36e3db812fb43c09e7ec0ef - registration status: 204
2023-07-31 14:03:39.318  INFO [department-service,,] 13648 --- [restartedMain] c.e.demo.DepartmentServiceApplication    : Started DepartmentServiceApplication in 20.524 seconds (JVM running for 23.251)
2023-07-31 14:03:39.502  INFO [department-service,,] 13648 --- [registrationTask1] d.c.b.a.c.r.ApplicationRegistrator       : Application registered itself as 5de49f67623b
2023-07-31 14:03:39.636  INFO [department-service,4c0b1fdb9b24f54b,4c0b1fdb9b24f54b] 13648 --- [http-nio-auto-1-exec-1] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-07-31 14:03:39.636  INFO [department-service,4c0b1fdb9b24f54b,4c0b1fdb9b24f54b] 13648 --- [http-nio-auto-1-exec-1] o.s.web.servlet.DispatcherServlet        : Initializing Servlet 'dispatcherServlet'
2023-07-31 14:03:39.639  INFO [department-service,4c0b1fdb9b24f54b,4c0b1fdb9b24f54b] 13648 --- [http-nio-auto-1-exec-1] o.s.web.servlet.DispatcherServlet        : Completed initialization in 2 ms
2023-07-31 14:08:38.561  INFO [department-service,,] 13648 --- [AsyncResolver-bootstrap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2023-07-31 14:13:38.573  INFO [department-service,,] 13648 --- [AsyncResolver-bootstrap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2023-07-31 14:18:38.589  INFO [department-service,,] 13648 --- [AsyncResolver-bootstrap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
